Experiment Name, Loop Nest Count,Loop Nest Depth,Memory Footprint,Data Dimensionality,View Count,Constraint Count,Access Count,Component,Execution Time
Access Count,2,2,30000,2,1,0,1,Cost Estimation,3089
Access Count,2,2,30000,2,1,0,1,ISL Setup,3005
Access Count,2,2,30000,2,1,0,1,ISL Solve,376
Access Count,2,2,30000,2,1,0,4,Cost Estimation,3515
Access Count,2,2,30000,2,1,0,4,ISL Setup,3121
Access Count,2,2,30000,2,1,0,4,ISL Solve,376
Access Count,2,2,30000,2,1,0,2,Cost Estimation,3232
Access Count,2,2,30000,2,1,0,2,ISL Setup,3064
Access Count,2,2,30000,2,1,0,2,ISL Solve,380
Data Dimensionality,2,2,9998244,2,1,0,1,Cost Estimation,4604
Data Dimensionality,2,2,9998244,2,1,0,1,ISL Setup,8987
Data Dimensionality,2,2,9998244,2,1,0,1,ISL Solve,1125
Data Dimensionality,2,3,9938375,3,1,0,1,Cost Estimation,10759
Data Dimensionality,2,3,9938375,3,1,0,1,ISL Setup,14577
Data Dimensionality,2,3,9938375,3,1,0,1,ISL Solve,3507
Data Dimensionality,2,4,9834496,4,1,0,1,Cost Estimation,38873
Data Dimensionality,2,4,9834496,4,1,0,1,ISL Setup,20939
Data Dimensionality,2,4,9834496,4,1,0,1,ISL Solve,8073
Data Dimensionality,2,5,9765625,5,1,0,1,Cost Estimation,60827
Data Dimensionality,2,5,9765625,5,1,0,1,ISL Setup,29059
Data Dimensionality,2,5,9765625,5,1,0,1,ISL Solve,15209
Data Dimensionality,2,6,7529536,6,1,0,1,Cost Estimation,99414
Data Dimensionality,2,6,7529536,6,1,0,1,ISL Setup,38858
Data Dimensionality,2,6,7529536,6,1,0,1,ISL Solve,27085
