Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
1,2,262144,3,BestAnalytical,BaseRAJA,Computation,120553
1,2,262144,3,BestAnalytical,HandTransformed,Computation,130632
1,2,262144,3,BestAnalytical,HandTransformed,Conversion,9307
1,2,262144,3,BestAnalytical,Experiment1,Computation,94041
1,2,262144,3,BestAnalytical,Experiment1,Conversion,7017
1,2,262144,3,BestAnalytical,Experiment1,Cost Estimation,4430
1,2,262144,3,BestAnalytical,Experiment1,ISL Space,35122
1,2,262144,3,BestAnalytical,Experiment1,ISL Func,11801
1,2,262144,3,BestAnalytical,Experiment1,ISL Solve,8648
1,2,524288,3,BestAnalytical,BaseRAJA,Computation,396340
1,2,524288,3,BestAnalytical,HandTransformed,Computation,263459
1,2,524288,3,BestAnalytical,HandTransformed,Conversion,13377
1,2,524288,3,BestAnalytical,Experiment1,Computation,260623
1,2,524288,3,BestAnalytical,Experiment1,Conversion,17178
1,2,524288,3,BestAnalytical,Experiment1,Cost Estimation,4484
1,2,524288,3,BestAnalytical,Experiment1,ISL Space,35215
1,2,524288,3,BestAnalytical,Experiment1,ISL Func,11874
1,2,524288,3,BestAnalytical,Experiment1,ISL Solve,8735
1,2,524288,3,BestAnalytical,BaseRAJA,Computation,291534
1,2,524288,3,BestAnalytical,HandTransformed,Computation,268432
1,2,524288,3,BestAnalytical,HandTransformed,Conversion,10521
1,2,524288,3,BestAnalytical,Experiment1,Computation,262104
1,2,524288,3,BestAnalytical,Experiment1,Conversion,12241
1,2,524288,3,BestAnalytical,Experiment1,Cost Estimation,4473
1,2,524288,3,BestAnalytical,Experiment1,ISL Space,35157
1,2,524288,3,BestAnalytical,Experiment1,ISL Func,11874
1,2,524288,3,BestAnalytical,Experiment1,ISL Solve,8544
1,2,524288,3,BestAnalytical,BaseRAJA,Computation,379913
1,2,524288,3,BestAnalytical,HandTransformed,Computation,267690
1,2,524288,3,BestAnalytical,HandTransformed,Conversion,9866
1,2,524288,3,BestAnalytical,Experiment1,Computation,266650
1,2,524288,3,BestAnalytical,Experiment1,Conversion,12662
1,2,524288,3,BestAnalytical,Experiment1,Cost Estimation,4436
1,2,524288,3,BestAnalytical,Experiment1,ISL Space,34638
1,2,524288,3,BestAnalytical,Experiment1,ISL Func,11642
1,2,524288,3,BestAnalytical,Experiment1,ISL Solve,8293
1,2,1048576,3,BestAnalytical,BaseRAJA,Computation,834587
1,2,1048576,3,BestAnalytical,HandTransformed,Computation,727660
1,2,1048576,3,BestAnalytical,HandTransformed,Conversion,25814
1,2,1048576,3,BestAnalytical,Experiment1,Computation,736670
1,2,1048576,3,BestAnalytical,Experiment1,Conversion,22372
1,2,1048576,3,BestAnalytical,Experiment1,Cost Estimation,4373
1,2,1048576,3,BestAnalytical,Experiment1,ISL Space,34596
1,2,1048576,3,BestAnalytical,Experiment1,ISL Func,11629
1,2,1048576,3,BestAnalytical,Experiment1,ISL Solve,8386
1,2,1048576,3,BestAnalytical,BaseRAJA,Computation,851091
1,2,1048576,3,BestAnalytical,HandTransformed,Computation,721297
1,2,1048576,3,BestAnalytical,HandTransformed,Conversion,21860
1,2,1048576,3,BestAnalytical,Experiment1,Computation,742927
1,2,1048576,3,BestAnalytical,Experiment1,Conversion,23118
1,2,1048576,3,BestAnalytical,Experiment1,Cost Estimation,4420
1,2,1048576,3,BestAnalytical,Experiment1,ISL Space,34602
1,2,1048576,3,BestAnalytical,Experiment1,ISL Func,11635
1,2,1048576,3,BestAnalytical,Experiment1,ISL Solve,8247
1,2,1048576,3,BestAnalytical,BaseRAJA,Computation,915078
1,2,1048576,3,BestAnalytical,HandTransformed,Computation,753223
1,2,1048576,3,BestAnalytical,HandTransformed,Conversion,21226
1,2,1048576,3,BestAnalytical,Experiment1,Computation,737680
1,2,1048576,3,BestAnalytical,Experiment1,Conversion,28647
1,2,1048576,3,BestAnalytical,Experiment1,Cost Estimation,4489
1,2,1048576,3,BestAnalytical,Experiment1,ISL Space,34453
1,2,1048576,3,BestAnalytical,Experiment1,ISL Func,11636
1,2,1048576,3,BestAnalytical,Experiment1,ISL Solve,8331
2,2,1000000,1,0,BaseRAJA,Computation,767336
2,2,1000000,1,0,Experiment2,Computation,754363
2,2,1000000,1,0,Experiment2,Conversion,3
